               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.2069,            0.017472,            0.020845,           0.0030888,             0.85491,            0.013578,           0.0038457,             0.09222,            0.010784,             0.01352,             0.07815,             0.00115,             0.00115
                   1,              0.1469,            0.018643,             0.01973,           0.0032787,             0.99537,             0.05266,            0.016475,            0.067927,           0.0092908,            0.012745,            0.055303,           0.0023035,           0.0023035
                   2,              0.1152,            0.017643,            0.016518,           0.0032808,                   1,             0.28144,             0.10016,            0.058978,           0.0075323,            0.011886,            0.032409,           0.0034094,           0.0034094
                   3,             0.10761,            0.017544,            0.016769,              0.3549,             0.71727,             0.45656,             0.22242,            0.051261,           0.0064075,            0.011044,           0.0094678,           0.0044678,           0.0044678
                   4,              0.1032,            0.016108,            0.015201,             0.67018,             0.42331,             0.53125,             0.25447,            0.055335,           0.0055215,            0.010492,            0.004604,            0.004604,            0.004604
                   5,            0.088197,            0.014932,            0.016476,             0.68552,             0.61966,             0.61277,                0.32,            0.053775,           0.0048362,            0.010256,            0.004604,            0.004604,            0.004604
                   6,            0.091842,            0.014845,            0.015323,             0.59028,             0.61748,             0.61506,             0.37968,            0.046214,           0.0047273,            0.009902,            0.004505,            0.004505,            0.004505
                   7,            0.088138,            0.013278,            0.015941,             0.56891,             0.54259,             0.56631,             0.33609,            0.047891,           0.0047139,           0.0097218,            0.004406,            0.004406,            0.004406
                   8,            0.086729,            0.013156,            0.016113,              0.5282,             0.65603,             0.57819,             0.37101,            0.047739,           0.0043659,           0.0096754,            0.004307,            0.004307,            0.004307
                   9,            0.081114,            0.013235,            0.015482,             0.46133,             0.68608,             0.57398,             0.35016,            0.047215,           0.0040742,           0.0095146,            0.004208,            0.004208,            0.004208
                  10,            0.077267,            0.012578,            0.014351,             0.43455,             0.64723,             0.55372,             0.36161,            0.044862,           0.0038376,           0.0094465,            0.004109,            0.004109,            0.004109
                  11,            0.071515,            0.012191,            0.015525,             0.42897,             0.70362,             0.56737,             0.34662,            0.047688,           0.0036241,           0.0095776,             0.00401,             0.00401,             0.00401
                  12,            0.072941,            0.011906,            0.014805,             0.48748,             0.64783,             0.62125,             0.42992,            0.040434,           0.0036884,           0.0094603,            0.003911,            0.003911,            0.003911
                  13,            0.073992,              0.0116,            0.015257,             0.44212,             0.59972,             0.55985,             0.37271,            0.039684,           0.0037246,           0.0095781,            0.003812,            0.003812,            0.003812
                  14,            0.069189,            0.010928,             0.01448,              0.4142,             0.57476,             0.53119,             0.36011,            0.041151,           0.0034802,           0.0095924,            0.003713,            0.003713,            0.003713
                  15,            0.068363,             0.01049,            0.014619,             0.51673,               0.633,             0.56799,             0.38665,            0.042567,           0.0035308,           0.0093401,            0.003614,            0.003614,            0.003614
                  16,            0.069637,            0.011074,            0.014868,             0.47016,             0.59756,             0.52737,             0.33453,            0.045565,           0.0035119,           0.0093807,            0.003515,            0.003515,            0.003515
                  17,            0.069023,            0.010964,            0.014365,             0.48109,             0.66364,             0.54731,             0.35405,            0.044081,           0.0034286,           0.0093195,            0.003416,            0.003416,            0.003416
                  18,            0.068924,            0.010619,            0.014362,             0.50129,             0.64756,             0.60609,             0.41869,            0.038803,           0.0034973,           0.0092806,            0.003317,            0.003317,            0.003317
                  19,            0.066389,             0.01003,            0.013577,             0.52393,             0.68973,             0.63413,             0.41073,            0.038027,           0.0034006,            0.009082,            0.003218,            0.003218,            0.003218
                  20,            0.068223,           0.0098302,            0.013846,             0.49624,             0.66451,             0.64758,             0.40879,            0.039793,           0.0032676,           0.0090351,            0.003119,            0.003119,            0.003119
                  21,            0.068626,            0.010127,            0.013577,             0.51828,             0.75075,             0.63902,             0.41775,            0.039062,           0.0031412,           0.0089624,             0.00302,             0.00302,             0.00302
                  22,            0.060487,            0.010084,            0.013369,             0.53222,             0.73042,             0.64333,             0.43214,            0.039658,           0.0031138,           0.0088737,            0.002921,            0.002921,            0.002921
                  23,            0.061802,            0.010132,            0.013153,             0.58192,             0.69899,             0.66484,             0.45648,            0.035869,           0.0030525,            0.008729,            0.002822,            0.002822,            0.002822
                  24,            0.060642,           0.0094155,             0.01343,             0.60573,             0.68973,             0.68631,              0.4734,            0.037134,           0.0029583,           0.0085676,            0.002723,            0.002723,            0.002723
                  25,            0.054677,            0.008864,            0.012779,             0.59658,             0.70323,             0.69737,              0.4878,            0.037067,           0.0029576,           0.0084566,            0.002624,            0.002624,            0.002624
                  26,            0.058275,           0.0095415,             0.01326,             0.57998,             0.73321,             0.68389,             0.46924,            0.037786,            0.003081,           0.0085705,            0.002525,            0.002525,            0.002525
                  27,            0.058857,            0.008822,            0.013031,             0.59156,              0.7835,             0.69661,             0.47551,            0.037795,           0.0031327,           0.0084715,            0.002426,            0.002426,            0.002426
                  28,            0.059728,           0.0096955,            0.013337,             0.56314,             0.73206,             0.69343,             0.49212,              0.0344,           0.0028908,           0.0083559,            0.002327,            0.002327,            0.002327
                  29,            0.060802,           0.0095348,            0.013554,             0.57868,             0.79205,             0.71244,              0.5056,            0.033351,           0.0028618,           0.0082563,            0.002228,            0.002228,            0.002228
                  30,            0.054668,           0.0088542,            0.013013,             0.63687,             0.71353,             0.71467,             0.48367,            0.035547,           0.0028917,           0.0081373,            0.002129,            0.002129,            0.002129
                  31,            0.058366,           0.0090161,            0.012972,             0.62333,             0.71043,             0.70622,             0.49678,            0.034733,           0.0028394,           0.0080515,             0.00203,             0.00203,             0.00203
                  32,            0.052063,            0.008445,            0.011322,             0.61853,             0.73387,              0.7062,             0.50448,            0.034207,           0.0028096,           0.0079473,            0.001931,            0.001931,            0.001931
                  33,            0.050785,           0.0081839,            0.011919,             0.64373,             0.73802,             0.71391,             0.51423,            0.034535,           0.0027876,           0.0078747,            0.001832,            0.001832,            0.001832
                  34,            0.055522,           0.0090717,            0.012598,             0.65539,             0.77657,             0.73495,             0.53232,            0.033771,           0.0028466,           0.0079027,            0.001733,            0.001733,            0.001733
                  35,            0.051378,           0.0084882,            0.011911,             0.65907,             0.75365,             0.73521,             0.52344,            0.034767,           0.0028592,           0.0078438,            0.001634,            0.001634,            0.001634
                  36,            0.049059,           0.0084951,            0.012245,             0.68101,             0.76023,             0.73916,             0.52625,            0.033161,           0.0028989,           0.0077242,            0.001535,            0.001535,            0.001535
                  37,            0.051528,           0.0086364,            0.012486,             0.66258,             0.75282,             0.72509,             0.51788,            0.034145,           0.0028868,           0.0076761,            0.001436,            0.001436,            0.001436
                  38,            0.049426,           0.0081271,            0.012109,              0.6094,             0.75015,             0.72774,             0.52162,            0.033801,           0.0028706,           0.0077099,            0.001337,            0.001337,            0.001337
                  39,            0.054204,           0.0084388,            0.011919,             0.60359,             0.79294,              0.7239,             0.51482,            0.033517,           0.0028535,           0.0076349,            0.001238,            0.001238,            0.001238
                  40,            0.049664,           0.0074934,            0.011655,             0.60647,             0.75048,             0.72261,             0.52273,             0.03258,           0.0028245,           0.0075525,            0.001139,            0.001139,            0.001139
                  41,            0.053744,           0.0084725,            0.011096,             0.64749,             0.76454,             0.73603,             0.51226,            0.034562,           0.0028032,           0.0073843,             0.00104,             0.00104,             0.00104
                  42,            0.048417,           0.0077493,            0.010623,             0.67843,             0.74258,             0.75797,             0.53437,            0.034563,           0.0027838,           0.0073357,            0.000941,            0.000941,            0.000941
                  43,            0.050937,           0.0084576,            0.010976,             0.72498,              0.7443,             0.76484,             0.55923,            0.032632,           0.0027466,           0.0073746,            0.000842,            0.000842,            0.000842
                  44,            0.049441,           0.0082795,            0.011172,             0.72935,             0.73485,             0.78253,             0.55584,            0.032952,            0.002716,           0.0072538,            0.000743,            0.000743,            0.000743
                  45,             0.04738,           0.0082991,            0.010541,             0.73596,              0.7349,              0.7896,             0.56803,            0.032944,           0.0026996,           0.0072338,            0.000644,            0.000644,            0.000644
                  46,            0.050808,           0.0080643,            0.010883,             0.74523,             0.72121,             0.78681,             0.57489,            0.032242,           0.0026819,            0.007164,            0.000545,            0.000545,            0.000545
                  47,              0.0466,           0.0084361,            0.010157,             0.71546,             0.76682,             0.78568,             0.57244,            0.032602,           0.0026536,           0.0070976,            0.000446,            0.000446,            0.000446
                  48,             0.04642,           0.0073832,            0.010143,             0.68772,             0.75156,             0.78172,             0.57626,            0.032174,           0.0026602,           0.0070129,            0.000347,            0.000347,            0.000347
                  49,            0.049017,           0.0080045,            0.010566,             0.70408,             0.76064,             0.78136,             0.56857,            0.032874,           0.0026657,           0.0069706,            0.000248,            0.000248,            0.000248
