               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090805,            0.030698,            0.036835,             0.10759,              0.1862,             0.20751,            0.062594,            0.047068,            0.010421,            0.019119,              0.0885,              0.0115,              0.0115
                   1,            0.070734,            0.022217,            0.030464,             0.39699,             0.21329,             0.24488,            0.076812,            0.045111,           0.0087679,            0.018511,            0.076267,            0.023267,            0.023267
                   2,            0.070975,            0.018769,            0.022322,             0.22739,             0.33634,             0.20804,            0.069339,            0.049287,             0.00927,            0.020321,            0.063797,            0.034797,            0.034797
                   3,            0.073348,            0.022774,            0.025387,             0.13816,             0.17357,            0.047044,            0.024792,            0.053538,            0.027952,            0.026127,            0.051089,            0.046089,            0.046089
                   4,            0.073932,            0.024567,            0.027987,            0.013985,             0.42785,             0.01282,           0.0036916,            0.059783,            0.022705,            0.023512,             0.04802,             0.04802,             0.04802
                   5,            0.067359,            0.024571,            0.028957,             0.72149,            0.046296,            0.027938,           0.0061799,            0.064966,            0.034067,            0.043477,             0.04802,             0.04802,             0.04802
                   6,            0.072347,            0.024971,            0.025785,            0.048076,            0.088938,            0.025795,           0.0092523,            0.062243,            0.036572,            0.028354,            0.047525,            0.047525,            0.047525
                   7,            0.073358,            0.023418,            0.026874,            0.011072,             0.14496,           0.0081537,           0.0024983,            0.055103,            0.040921,            0.031285,             0.04703,             0.04703,             0.04703
                   8,             0.06887,            0.024278,            0.026399,           0.0068648,             0.13607,           0.0086251,           0.0025675,            0.047509,             0.02729,            0.020786,            0.046535,            0.046535,            0.046535
                   9,            0.066491,            0.025644,            0.026425,             0.17745,             0.19085,            0.047275,            0.015578,            0.046016,            0.053665,            0.021951,             0.04604,             0.04604,             0.04604
                  10,            0.063701,            0.024929,            0.022356,            0.032082,             0.16337,            0.039009,            0.014962,            0.042532,            0.019855,            0.020912,            0.045545,            0.045545,            0.045545
                  11,            0.059881,            0.024707,            0.024134,            0.091208,             0.17763,            0.075665,            0.018937,            0.047896,            0.014825,            0.019604,             0.04505,             0.04505,             0.04505
                  12,            0.061627,             0.02459,            0.022948,             0.16919,             0.22939,             0.14655,            0.042667,            0.037548,            0.011023,            0.017996,            0.044555,            0.044555,            0.044555
                  13,            0.059999,            0.024691,            0.024116,             0.12391,             0.19005,             0.11913,            0.048451,             0.04133,            0.010957,             0.02141,             0.04406,             0.04406,             0.04406
                  14,            0.057931,            0.023992,            0.021862,             0.19881,             0.17824,             0.13702,            0.042524,            0.041705,            0.010662,            0.020915,            0.043565,            0.043565,            0.043565
                  15,            0.057784,             0.02377,            0.021241,             0.22358,              0.1931,             0.11938,            0.047002,            0.042485,             0.01022,            0.017915,             0.04307,             0.04307,             0.04307
                  16,            0.058425,             0.02422,            0.021267,             0.28337,             0.31675,             0.18837,            0.069285,            0.039312,            0.010379,            0.019141,            0.042575,            0.042575,            0.042575
                  17,            0.058663,              0.0237,            0.019875,             0.10725,             0.20369,            0.091176,            0.021271,            0.044748,            0.010743,            0.018963,             0.04208,             0.04208,             0.04208
                  18,            0.055187,            0.024182,            0.020788,             0.26138,             0.16008,             0.18503,            0.052374,            0.046143,            0.011521,            0.017092,            0.041585,            0.041585,            0.041585
                  19,            0.055138,            0.023168,            0.018663,             0.23076,             0.19212,             0.14395,            0.047229,            0.048438,            0.011111,            0.016358,             0.04109,             0.04109,             0.04109
                  20,            0.056155,            0.023041,            0.018846,              0.2409,             0.23082,             0.19821,            0.066886,             0.03979,            0.011436,            0.017011,            0.040595,            0.040595,            0.040595
                  21,            0.059053,            0.022572,            0.019492,             0.33914,             0.33088,              0.2562,            0.089708,            0.037158,            0.010339,            0.014137,              0.0401,              0.0401,              0.0401
                  22,            0.052057,            0.023969,            0.016782,             0.58446,             0.34091,             0.37151,             0.14851,            0.035768,           0.0087371,             0.01376,            0.039605,            0.039605,            0.039605
                  23,            0.053012,            0.023989,            0.016439,             0.52766,             0.36731,             0.37523,             0.17343,            0.033947,           0.0085713,            0.017027,             0.03911,             0.03911,             0.03911
                  24,            0.052153,            0.022824,            0.017148,             0.33412,             0.31638,             0.31805,             0.13315,            0.033107,            0.010049,             0.01431,            0.038615,            0.038615,            0.038615
                  25,            0.047965,            0.021714,            0.014738,             0.31444,             0.29994,             0.28226,             0.10902,            0.033016,           0.0093324,            0.017816,             0.03812,             0.03812,             0.03812
                  26,            0.049492,            0.022924,            0.016177,              0.3772,             0.34124,             0.31737,             0.13619,            0.035933,           0.0092782,             0.01761,            0.037625,            0.037625,            0.037625
                  27,            0.048281,            0.022251,            0.014753,             0.36228,             0.36144,             0.31796,             0.13198,            0.033373,            0.011098,            0.015984,             0.03713,             0.03713,             0.03713
                  28,            0.052764,            0.024262,            0.017685,             0.28867,             0.32903,             0.24625,            0.095462,            0.034581,             0.01009,            0.020208,            0.036635,            0.036635,            0.036635
                  29,            0.055443,            0.023736,            0.019651,             0.46388,             0.33661,             0.37174,             0.15404,            0.037772,           0.0097327,            0.020549,             0.03614,             0.03614,             0.03614
                  30,            0.050252,            0.023017,            0.017776,             0.49348,             0.37425,             0.40503,             0.17191,            0.036073,           0.0086679,            0.020074,            0.035645,            0.035645,            0.035645
                  31,            0.054072,            0.023394,            0.016898,             0.55886,             0.34379,             0.38868,              0.1816,            0.035434,           0.0083402,            0.020576,             0.03515,             0.03515,             0.03515
                  32,             0.04683,            0.022699,            0.014849,             0.61634,             0.37462,             0.41888,              0.1897,            0.034126,           0.0085561,            0.017982,            0.034655,            0.034655,            0.034655
                  33,            0.046546,            0.022167,            0.014874,             0.26213,             0.17093,             0.14004,            0.041231,            0.046985,            0.010413,            0.019917,             0.03416,             0.03416,             0.03416
                  34,            0.051221,             0.02367,            0.016597,             0.45269,             0.33583,              0.3657,             0.14679,            0.036417,           0.0092027,            0.016717,            0.033665,            0.033665,            0.033665
